lon,lat,rate
171.9500,-42.4500,0.0000006696
172.0500,-42.4500,0.0000006696
172.0500,-42.3500,0.0000006696
172.1500,-42.5500,0.0000006696
172.1500,-42.4500,0.0000006696
172.1500,-42.3500,0.0000006696
172.2500,-42.4500,0.0000006696
172.2500,-42.3500,0.0000006696
172.2500,-42.2500,0.0000006696
172.3500,-42.4500,0.0000006696
172.3500,-42.3500,0.0000006696
172.3500,-42.2500,0.0000006696
172.3500,-42.1500,0.0000006696
172.4500,-42.4500,0.0000006696
172.4500,-42.3500,0.0000006696
172.4500,-42.2500,0.0000006696
172.4500,-42.1500,0.0000006696
172.4500,-42.0500,0.0000006696
172.5500,-42.4500,0.0000006696
172.5500,-42.3500,0.0000006696
172.5500,-42.2500,0.0000006696
172.5500,-42.1500,0.0000006696
172.5500,-42.0500,0.0000006696
172.5500,-41.9500,0.0000006696
172.6500,-42.4500,0.0000068781
172.6500,-42.3500,0.0000006696
172.6500,-42.2500,0.0000006696
172.6500,-42.1500,0.0000006696
172.6500,-42.0500,0.0000006696
172.6500,-41.9500,0.0000006696
172.6500,-41.8500,0.0000006696
172.7500,-42.4500,0.0000169172
172.7500,-42.3500,0.0000165615
172.7500,-42.2500,0.0000120006
172.7500,-42.1500,0.0000006696
172.7500,-42.0500,0.0000006696
172.7500,-41.9500,0.0000006696
172.7500,-41.8500,0.0000006696
172.8500,-42.4500,0.0000368534
172.8500,-42.3500,0.0000408574
172.8500,-42.2500,0.0000362607
172.8500,-42.1500,0.0000198549
172.8500,-42.0500,0.0000006696
172.8500,-41.9500,0.0000006696
172.8500,-41.8500,0.0000006696
172.8500,-41.7500,0.0000006696
172.9500,-42.4500,0.0000771601
172.9500,-42.3500,0.0000813923
172.9500,-42.2500,0.0000774890
172.9500,-42.1500,0.0000605559
172.9500,-42.0500,0.0000276186
172.9500,-41.9500,0.0000006696
172.9500,-41.8500,0.0000006696
172.9500,-41.7500,0.0000006696
172.9500,-41.6500,0.0000006696
173.0500,-42.4500,0.0001417485
173.0500,-42.3500,0.0001506897
173.0500,-42.2500,0.0001483578
173.0500,-42.1500,0.0001299178
173.0500,-42.0500,0.0000925409
173.0500,-41.9500,0.0000570094
173.0500,-41.8500,0.0000286158
173.0500,-41.7500,0.0000006696
173.0500,-41.6500,0.0000006696
173.1500,-42.5500,0.0001902750
173.1500,-42.4500,0.0002324001
173.1500,-42.3500,0.0002536981
173.1500,-42.2500,0.0002525969
173.1500,-42.1500,0.0002301760
173.1500,-42.0500,0.0001904182
173.1500,-41.9500,0.0001425953
173.1500,-41.8500,0.0000944944
173.1500,-41.7500,0.0000511266
173.1500,-41.6500,0.0000115500
173.1500,-41.5500,0.0000006696
173.2500,-42.4500,0.0003461247
173.2500,-42.3500,0.0003776351
173.2500,-42.2500,0.0003801782
173.2500,-42.1500,0.0003545130
173.2500,-42.0500,0.0003082481
173.2500,-41.9500,0.0002438996
173.2500,-41.8500,0.0001702940
173.2500,-41.7500,0.0001139828
173.2500,-41.6500,0.0000663971
173.2500,-41.5500,0.0000177945
173.2500,-41.4500,0.0000006696
173.3500,-42.4500,0.0004539572
173.3500,-42.3500,0.0005050738
173.3500,-42.2500,0.0005254107
173.3500,-42.1500,0.0005066180
173.3500,-42.0500,0.0004530383
173.3500,-41.9500,0.0003705207
173.3500,-41.8500,0.0002606871
173.3500,-41.7500,0.0001964551
173.3500,-41.6500,0.0001348758
173.3500,-41.5500,0.0000702508
173.3500,-41.4500,0.0000091569
173.3500,-41.3500,0.0000006696
173.4500,-42.4500,0.0005365789
173.4500,-42.3500,0.0006229373
173.4500,-42.2500,0.0006826089
173.4500,-42.1500,0.0006750552
173.4500,-42.0500,0.0006159097
173.4500,-41.9500,0.0005278486
173.4500,-41.8500,0.0004180409
173.4500,-41.7500,0.0003136035
173.4500,-41.6500,0.0002173795
173.4500,-41.5500,0.0001277587
173.4500,-41.4500,0.0000494618
173.4500,-41.3500,0.0000006696
173.5500,-42.4500,0.0005956809
173.5500,-42.3500,0.0007150609
173.5500,-42.2500,0.0008425306
173.5500,-42.1500,0.0008262457
173.5500,-42.0500,0.0007655675
173.5500,-41.9500,0.0006913568
173.5500,-41.8500,0.0005692067
173.5500,-41.7500,0.0004343811
173.5500,-41.6500,0.0003053765
173.5500,-41.5500,0.0001876976
173.5500,-41.4500,0.0000878652
173.5500,-41.3500,0.0000073979
173.5500,-41.2500,0.0000006696
173.6500,-42.4500,0.0006242685
173.6500,-42.3500,0.0007384417
173.6500,-42.2500,0.0008497580
173.6500,-42.1500,0.0008768464
173.6500,-42.0500,0.0008552278
173.6500,-41.9500,0.0008185833
173.6500,-41.8500,0.0006866578
173.6500,-41.7500,0.0005385411
173.6500,-41.6500,0.0003886222
173.6500,-41.5500,0.0002443397
173.6500,-41.4500,0.0001195316
173.6500,-41.3500,0.0000253212
173.6500,-41.2500,0.0000006696
173.6500,-41.1500,0.0000006696
173.7500,-42.4500,0.0006292786
173.7500,-42.3500,0.0007079124
173.7500,-42.2500,0.0007994646
173.7500,-42.1500,0.0008616569
173.7500,-42.0500,0.0008793158
173.7500,-41.9500,0.0008491887
173.7500,-41.8500,0.0007584995
173.7500,-41.7500,0.0006248277
173.7500,-41.6500,0.0004645616
173.7500,-41.5500,0.0002934016
173.7500,-41.4500,0.0001397255
173.7500,-41.3500,0.0000361700
173.7500,-41.2500,0.0000006696
173.7500,-41.1500,0.0000006696
173.7500,-41.0500,0.0000006696
173.7500,-40.9500,0.0000006696
173.8500,-42.4500,0.0006202132
173.8500,-42.3500,0.0006516369
173.8500,-42.2500,0.0007532499
173.8500,-42.1500,0.0008406765
173.8500,-42.0500,0.0008885418
173.8500,-41.9500,0.0008837327
173.8500,-41.8500,0.0008236351
173.8500,-41.7500,0.0007067704
173.8500,-41.6500,0.0005423805
173.8500,-41.5500,0.0003496440
173.8500,-41.4500,0.0001500284
173.8500,-41.3500,0.0000546026
173.8500,-41.2500,0.0000006696
173.8500,-41.1500,0.0000006696
173.8500,-41.0500,0.0000006696
173.8500,-40.9500,0.0000006696
173.8500,-40.8500,0.0000006696
173.9500,-42.3500,0.0006547577
173.9500,-42.2500,0.0007365688
173.9500,-42.1500,0.0008267154
173.9500,-42.0500,0.0008981377
173.9500,-41.9500,0.0009233728
173.9500,-41.8500,0.0009023689
173.9500,-41.7500,0.0008019998
173.9500,-41.6500,0.0006359225
173.9500,-41.5500,0.0004432923
173.9500,-41.4500,0.0002569202
173.9500,-41.3500,0.0001322368
173.9500,-41.2500,0.0000427180
173.9500,-41.1500,0.0000006696
173.9500,-41.0500,0.0000006696
173.9500,-40.9500,0.0000006696
173.9500,-40.8500,0.0000006696
173.9500,-40.7500,0.0000006696
173.9500,-40.6500,0.0000006696
174.0500,-42.4500,0.0006590618
174.0500,-42.3500,0.0006833957
174.0500,-42.2500,0.0007353678
174.0500,-42.1500,0.0008080636
174.0500,-42.0500,0.0008846589
174.0500,-41.9500,0.0009502922
174.0500,-41.8500,0.0009963678
174.0500,-41.7500,0.0009061477
174.0500,-41.6500,0.0007361779
174.0500,-41.5500,0.0005593374
174.0500,-41.4500,0.0003950728
174.0500,-41.3500,0.0002547994
174.0500,-41.2500,0.0001330973
174.0500,-41.1500,0.0000480696
174.0500,-41.0500,0.0000230842
174.0500,-40.9500,0.0000172110
174.0500,-40.8500,0.0000230870
174.0500,-40.7500,0.0000348376
174.0500,-40.6500,0.0000436436
174.0500,-40.5500,0.0000419953
174.0500,-40.4500,0.0000307774
174.1500,-42.4500,0.0006816527
174.1500,-42.3500,0.0006944240
174.1500,-42.2500,0.0007218249
174.1500,-42.1500,0.0007760092
174.1500,-42.0500,0.0008548589
174.1500,-41.9500,0.0009342269
174.1500,-41.8500,0.0009919587
174.1500,-41.7500,0.0009438993
174.1500,-41.6500,0.0008181990
174.1500,-41.5500,0.0006713404
174.1500,-41.4500,0.0005356623
174.1500,-41.3500,0.0003980204
174.1500,-41.2500,0.0002654811
174.1500,-41.1500,0.0001578710
174.1500,-41.0500,0.0000926655
174.1500,-40.9500,0.0000689525
174.1500,-40.8500,0.0000732120
174.1500,-40.7500,0.0000939341
174.1500,-40.6500,0.0001102430
174.1500,-40.5500,0.0001047028
174.1500,-40.4500,0.0000876919
174.1500,-40.3500,0.0000646368
174.2500,-42.5500,0.0006759689
174.2500,-42.4500,0.0006906633
174.2500,-42.3500,0.0006948913
174.2500,-42.2500,0.0007022641
174.2500,-42.1500,0.0007358736
174.2500,-42.0500,0.0008139143
174.2500,-41.9500,0.0008862719
174.2500,-41.8500,0.0009404620
174.2500,-41.7500,0.0009439191
174.2500,-41.6500,0.0008911890
174.2500,-41.5500,0.0008019319
174.2500,-41.4500,0.0006915274
174.2500,-41.3500,0.0005579898
174.2500,-41.2500,0.0004089421
174.2500,-41.1500,0.0002650026
174.2500,-41.0500,0.0001551140
174.2500,-40.9500,0.0001076418
174.2500,-40.8500,0.0001123909
174.2500,-40.7500,0.0001480361
174.2500,-40.6500,0.0001842006
174.2500,-40.5500,0.0001659824
174.2500,-40.4500,0.0001449321
174.2500,-40.3500,0.0001176604
174.2500,-40.2500,0.0000842999
174.3500,-42.4500,0.0006870179
174.3500,-42.3500,0.0006945971
174.3500,-42.2500,0.0007041748
174.3500,-42.1500,0.0007315033
174.3500,-42.0500,0.0007807731
174.3500,-41.9500,0.0008349584
174.3500,-41.8500,0.0009075285
174.3500,-41.7500,0.0009601546
174.3500,-41.6500,0.0009734590
174.3500,-41.5500,0.0009433108
174.3500,-41.4500,0.0008682021
174.3500,-41.3500,0.0007405609
174.3500,-41.2500,0.0005687615
174.3500,-41.1500,0.0003768685
174.3500,-41.0500,0.0001993949
174.3500,-40.9500,0.0001369605
174.3500,-40.8500,0.0001410888
174.3500,-40.7500,0.0001731558
174.3500,-40.6500,0.0002085510
174.3500,-40.5500,0.0002148554
174.3500,-40.4500,0.0002010585
174.3500,-40.3500,0.0001716811
174.3500,-40.2500,0.0001320173
174.3500,-40.1500,0.0000875406
174.4500,-42.3500,0.0006963447
174.4500,-42.2500,0.0007076340
174.4500,-42.1500,0.0007268850
174.4500,-42.0500,0.0007615105
174.4500,-41.9500,0.0008123260
174.4500,-41.8500,0.0008972455
174.4500,-41.7500,0.0009893952
174.4500,-41.6500,0.0010660180
174.4500,-41.5500,0.0010944945
174.4500,-41.4500,0.0010703809
174.4500,-41.3500,0.0009529580
174.4500,-41.2500,0.0007545165
174.4500,-41.1500,0.0005244631
174.4500,-41.0500,0.0003048459
174.4500,-40.9500,0.0002059407
174.4500,-40.8500,0.0001756734
174.4500,-40.7500,0.0001896628
174.4500,-40.6500,0.0002358296
174.4500,-40.5500,0.0002670165
174.4500,-40.4500,0.0002625570
174.4500,-40.3500,0.0002278690
174.4500,-40.2500,0.0001788754
174.4500,-40.1500,0.0001256748
174.4500,-40.0500,0.0000729061
174.5500,-42.3500,0.0006964704
174.5500,-42.2500,0.0007050767
174.5500,-42.1500,0.0007155071
174.5500,-42.0500,0.0007457294
174.5500,-41.9500,0.0008027162
174.5500,-41.8500,0.0008913669
174.5500,-41.7500,0.0010070005
174.5500,-41.6500,0.0011306819
174.5500,-41.5500,0.0012346770
174.5500,-41.4500,0.0012977321
174.5500,-41.3500,0.0011865827
174.5500,-41.2500,0.0009486089
174.5500,-41.1500,0.0007000723
174.5500,-41.0500,0.0004785635
174.5500,-40.9500,0.0003232558
174.5500,-40.8500,0.0002298663
174.5500,-40.7500,0.0002151061
174.5500,-40.6500,0.0002870050
174.5500,-40.5500,0.0003423831
174.5500,-40.4500,0.0003367897
174.5500,-40.3500,0.0002842577
174.5500,-40.2500,0.0002216799
174.5500,-40.1500,0.0001588919
174.5500,-40.0500,0.0000990709
174.6500,-42.2500,0.0006864321
174.6500,-42.1500,0.0006943033
174.6500,-42.0500,0.0007198341
174.6500,-41.9500,0.0007776559
174.6500,-41.8500,0.0008660056
174.6500,-41.7500,0.0009988745
174.6500,-41.6500,0.0011672159
174.6500,-41.5500,0.0013234330
174.6500,-41.4500,0.0014302986
174.6500,-41.3500,0.0013361232
174.6500,-41.2500,0.0011027208
174.6500,-41.1500,0.0008569448
174.6500,-41.0500,0.0006225133
174.6500,-40.9500,0.0004372854
174.6500,-40.8500,0.0003262693
174.6500,-40.7500,0.0003061344
174.6500,-40.6500,0.0003574298
174.6500,-40.5500,0.0004253000
174.6500,-40.4500,0.0004028662
174.6500,-40.3500,0.0003284778
174.6500,-40.2500,0.0002547538
174.6500,-40.1500,0.0001843090
174.6500,-40.0500,0.0001187898
174.6500,-39.9500,0.0000590929
174.7500,-42.1500,0.0006720893
174.7500,-42.0500,0.0006949980
174.7500,-41.9500,0.0007504933
174.7500,-41.8500,0.0008264452
174.7500,-41.7500,0.0009654557
174.7500,-41.6500,0.0011908017
174.7500,-41.5500,0.0013710043
174.7500,-41.4500,0.0014483740
174.7500,-41.3500,0.0013820547
174.7500,-41.2500,0.0012034329
174.7500,-41.1500,0.0009761866
174.7500,-41.0500,0.0007338584
174.7500,-40.9500,0.0005234418
174.7500,-40.8500,0.0004076288
174.7500,-40.7500,0.0003919228
174.7500,-40.6500,0.0004200430
174.7500,-40.5500,0.0004433078
174.7500,-40.4500,0.0004173976
174.7500,-40.3500,0.0003510191
174.7500,-40.2500,0.0002750875
174.7500,-40.1500,0.0002005819
174.7500,-40.0500,0.0001312519
174.7500,-39.9500,0.0000686810
174.8500,-42.1500,0.0006563247
174.8500,-42.0500,0.0006824649
174.8500,-41.9500,0.0007383610
174.8500,-41.8500,0.0008319669
174.8500,-41.7500,0.0009981416
174.8500,-41.6500,0.0012370054
174.8500,-41.5500,0.0014397202
174.8500,-41.4500,0.0014998734
174.8500,-41.3500,0.0014373493
174.8500,-41.2500,0.0012877249
174.8500,-41.1500,0.0010754067
174.8500,-41.0500,0.0008337084
174.8500,-40.9500,0.0005910051
174.8500,-40.8500,0.0004708684
174.8500,-40.7500,0.0004724316
174.8500,-40.6500,0.0004858278
174.8500,-40.5500,0.0004758014
174.8500,-40.4500,0.0004321501
174.8500,-40.3500,0.0003640504
174.8500,-40.2500,0.0002865097
174.8500,-40.1500,0.0002090998
174.8500,-40.0500,0.0001368711
174.8500,-39.9500,0.0000724862
174.8500,-39.8500,0.0000163496
174.9500,-42.0500,0.0006688609
174.9500,-41.9500,0.0007285904
174.9500,-41.8500,0.0008524550
174.9500,-41.7500,0.0010487204
174.9500,-41.6500,0.0012831643
174.9500,-41.5500,0.0014973039
174.9500,-41.4500,0.0015470278
174.9500,-41.3500,0.0014992339
174.9500,-41.2500,0.0013791544
174.9500,-41.1500,0.0011781589
174.9500,-41.0500,0.0009516183
174.9500,-40.9500,0.0007391069
174.9500,-40.8500,0.0006082856
174.9500,-40.7500,0.0005669472
174.9500,-40.6500,0.0005619295
174.9500,-40.5500,0.0005212542
174.9500,-40.4500,0.0004587307
174.9500,-40.3500,0.0003792077
174.9500,-40.2500,0.0002958491
174.9500,-40.1500,0.0002127279
174.9500,-40.0500,0.0001367231
174.9500,-39.9500,0.0000711574
174.9500,-39.8500,0.0000155152
175.0500,-41.9500,0.0007034617
175.0500,-41.8500,0.0008452392
175.0500,-41.7500,0.0010739767
175.0500,-41.6500,0.0013031836
175.0500,-41.5500,0.0014788638
175.0500,-41.4500,0.0015548069
175.0500,-41.3500,0.0015404943
175.0500,-41.2500,0.0014498604
175.0500,-41.1500,0.0012694315
175.0500,-41.0500,0.0010705510
175.0500,-40.9500,0.0008830325
175.0500,-40.8500,0.0007388876
175.0500,-40.7500,0.0006537024
175.0500,-40.6500,0.0006100330
175.0500,-40.5500,0.0005651833
175.0500,-40.4500,0.0004979139
175.0500,-40.3500,0.0004085906
175.0500,-40.2500,0.0003091986
175.0500,-40.1500,0.0002131895
175.0500,-40.0500,0.0001315648
175.0500,-39.9500,0.0000657329
175.0500,-39.8500,0.0000118549
175.0500,-39.7500,0.0000006696
175.1500,-42.0500,0.0006646707
175.1500,-41.9500,0.0007162790
175.1500,-41.8500,0.0008662568
175.1500,-41.7500,0.0011028525
175.1500,-41.6500,0.0013316176
175.1500,-41.5500,0.0014885151
175.1500,-41.4500,0.0015677793
175.1500,-41.3500,0.0015647221
175.1500,-41.2500,0.0014804094
175.1500,-41.1500,0.0013367750
175.1500,-41.0500,0.0011718961
175.1500,-40.9500,0.0009993064
175.1500,-40.8500,0.0008409295
175.1500,-40.7500,0.0007210540
175.1500,-40.6500,0.0006682899
175.1500,-40.5500,0.0006263551
175.1500,-40.4500,0.0005566161
175.1500,-40.3500,0.0004491805
175.1500,-40.2500,0.0003265048
175.1500,-40.1500,0.0002093580
175.1500,-40.0500,0.0001225963
175.1500,-39.9500,0.0000582462
175.1500,-39.8500,0.0000070233
175.1500,-39.7500,0.0000006696
175.1500,-39.6500,0.0000006696
175.2500,-42.0500,0.0006877680
175.2500,-41.9500,0.0007619242
175.2500,-41.8500,0.0009104925
175.2500,-41.7500,0.0011269333
175.2500,-41.6500,0.0013666516
175.2500,-41.5500,0.0015036528
175.2500,-41.4500,0.0015942619
175.2500,-41.3500,0.0016015289
175.2500,-41.2500,0.0015150531
175.2500,-41.1500,0.0013876080
175.2500,-41.0500,0.0012462849
175.2500,-40.9500,0.0010981347
175.2500,-40.8500,0.0009461191
175.2500,-40.7500,0.0007954604
175.2500,-40.6500,0.0007590514
175.2500,-40.5500,0.0007141906
175.2500,-40.4500,0.0006420853
175.2500,-40.3500,0.0004971815
175.2500,-40.2500,0.0003487271
175.2500,-40.1500,0.0002149414
175.2500,-40.0500,0.0001192226
175.2500,-39.9500,0.0000517567
175.2500,-39.8500,0.0000026119
175.2500,-39.7500,0.0000006696
175.2500,-39.6500,0.0000006696
175.3500,-42.0500,0.0007075256
175.3500,-41.9500,0.0007831220
175.3500,-41.8500,0.0009205681
175.3500,-41.7500,0.0011113268
175.3500,-41.6500,0.0013233091
175.3500,-41.5500,0.0014955713
175.3500,-41.4500,0.0016105204
175.3500,-41.3500,0.0016311290
175.3500,-41.2500,0.0015368800
175.3500,-41.1500,0.0014213497
175.3500,-41.0500,0.0013084635
175.3500,-40.9500,0.0011979958
175.3500,-40.8500,0.0010845292
175.3500,-40.7500,0.0009800298
175.3500,-40.6500,0.0009054332
175.3500,-40.5500,0.0008254384
175.3500,-40.4500,0.0007046122
175.3500,-40.3500,0.0005409660
175.3500,-40.2500,0.0003704296
175.3500,-40.1500,0.0002273793
175.3500,-40.0500,0.0001210414
175.3500,-39.9500,0.0000460799
175.3500,-39.8500,0.0000006696
175.3500,-39.7500,0.0000006696
175.3500,-39.6500,0.0000006696
175.3500,-39.5500,0.0000006696
175.4500,-41.9500,0.0008052249
175.4500,-41.8500,0.0009110971
175.4500,-41.7500,0.0010737190
175.4500,-41.6500,0.0012967270
175.4500,-41.5500,0.0014911362
175.4500,-41.4500,0.0016020881
175.4500,-41.3500,0.0016109704
175.4500,-41.2500,0.0015387197
175.4500,-41.1500,0.0014337570
175.4500,-41.0500,0.0013616177
175.4500,-40.9500,0.0012977102
175.4500,-40.8500,0.0012289570
175.4500,-40.7500,0.0011477422
175.4500,-40.6500,0.0010678244
175.4500,-40.5500,0.0009629602
175.4500,-40.4500,0.0007938035
175.4500,-40.3500,0.0005901266
175.4500,-40.2500,0.0003841541
175.4500,-40.1500,0.0002334587
175.4500,-40.0500,0.0001203531
175.4500,-39.9500,0.0000420730
175.4500,-39.8500,0.0000000412
175.4500,-39.7500,0.0000006696
175.4500,-39.6500,0.0000006696
175.4500,-39.5500,0.0000006696
175.4500,-39.4500,0.0000006696
175.5500,-41.9500,0.0008618894
175.5500,-41.8500,0.0009246610
175.5500,-41.7500,0.0010359527
175.5500,-41.6500,0.0013120410
175.5500,-41.5500,0.0015307165
175.5500,-41.4500,0.0016290769
175.5500,-41.3500,0.0016112223
175.5500,-41.2500,0.0015422592
175.5500,-41.1500,0.0014641422
175.5500,-41.0500,0.0014124355
175.5500,-40.9500,0.0013815422
175.5500,-40.8500,0.0013560878
175.5500,-40.7500,0.0012868154
175.5500,-40.6500,0.0012127728
175.5500,-40.5500,0.0011129636
175.5500,-40.4500,0.0008889869
175.5500,-40.3500,0.0006543495
175.5500,-40.2500,0.0004296647
175.5500,-40.1500,0.0002544599
175.5500,-40.0500,0.0001196280
175.5500,-39.9500,0.0000358884
175.5500,-39.8500,0.0000010601
175.5500,-39.7500,0.0000006696
175.5500,-39.6500,0.0000006696
175.5500,-39.5500,0.0000006696
175.5500,-39.4500,0.0000006696
175.5500,-39.3500,0.0000006696
175.6500,-41.9500,0.0009523613
175.6500,-41.8500,0.0010287020
175.6500,-41.7500,0.0011689054
175.6500,-41.6500,0.0013888883
175.6500,-41.5500,0.0016083761
175.6500,-41.4500,0.0016772800
175.6500,-41.3500,0.0016140493
175.6500,-41.2500,0.0015398091
175.6500,-41.1500,0.0014819080
175.6500,-41.0500,0.0014466293
175.6500,-40.9500,0.0014316499
175.6500,-40.8500,0.0014222919
175.6500,-40.7500,0.0013905782
175.6500,-40.6500,0.0013182478
175.6500,-40.5500,0.0011797261
175.6500,-40.4500,0.0009663576
175.6500,-40.3500,0.0007246234
175.6500,-40.2500,0.0004963892
175.6500,-40.1500,0.0002966900
175.6500,-40.0500,0.0001241763
175.6500,-39.9500,0.0000323621
175.6500,-39.8500,0.0000054323
175.6500,-39.7500,0.0000006696
175.6500,-39.6500,0.0000006696
175.6500,-39.5500,0.0000006696
175.6500,-39.4500,0.0000006696
175.6500,-39.3500,0.0000006696
175.7500,-41.8500,0.0011532181
175.7500,-41.7500,0.0013007980
175.7500,-41.6500,0.0014748859
175.7500,-41.5500,0.0016176581
175.7500,-41.4500,0.0016565248
175.7500,-41.3500,0.0015984123
175.7500,-41.2500,0.0015164148
175.7500,-41.1500,0.0014841426
175.7500,-41.0500,0.0014611416
175.7500,-40.9500,0.0014579594
175.7500,-40.8500,0.0014787806
175.7500,-40.7500,0.0014851477
175.7500,-40.6500,0.0014275106
175.7500,-40.5500,0.0012699428
175.7500,-40.4500,0.0010468946
175.7500,-40.3500,0.0007922929
175.7500,-40.2500,0.0005677077
175.7500,-40.1500,0.0003617778
175.7500,-40.0500,0.0001900669
175.7500,-39.9500,0.0000863070
175.7500,-39.8500,0.0000347504
175.7500,-39.7500,0.0000006696
175.7500,-39.6500,0.0000006696
175.7500,-39.5500,0.0000006696
175.7500,-39.4500,0.0000006696
175.7500,-39.3500,0.0000006696
175.7500,-39.2500,0.0000006696
175.8500,-41.8500,0.0012600350
175.8500,-41.7500,0.0014161513
175.8500,-41.6500,0.0015651118
175.8500,-41.5500,0.0016500136
175.8500,-41.4500,0.0016538171
175.8500,-41.3500,0.0016009380
175.8500,-41.2500,0.0015343149
175.8500,-41.1500,0.0015051900
175.8500,-41.0500,0.0014796512
175.8500,-40.9500,0.0014730873
175.8500,-40.8500,0.0015283698
175.8500,-40.7500,0.0015684962
175.8500,-40.6500,0.0015474987
175.8500,-40.5500,0.0013705503
175.8500,-40.4500,0.0011505608
175.8500,-40.3500,0.0009000610
175.8500,-40.2500,0.0006603958
175.8500,-40.1500,0.0004422412
175.8500,-40.0500,0.0002788065
175.8500,-39.9500,0.0001748653
175.8500,-39.8500,0.0001022989
175.8500,-39.7500,0.0000427505
175.8500,-39.6500,0.0000101822
175.8500,-39.5500,0.0000006696
175.8500,-39.4500,0.0000006696
175.8500,-39.3500,0.0000006696
175.8500,-39.2500,0.0000006696
175.8500,-39.1500,0.0000006696
175.9500,-41.8500,0.0013779359
175.9500,-41.7500,0.0015217347
175.9500,-41.6500,0.0016717159
175.9500,-41.5500,0.0017066766
175.9500,-41.4500,0.0016752743
175.9500,-41.3500,0.0016269121
175.9500,-41.2500,0.0015828844
175.9500,-41.1500,0.0015535283
175.9500,-41.0500,0.0015356251
175.9500,-40.9500,0.0015408420
175.9500,-40.8500,0.0015748861
175.9500,-40.7500,0.0016022726
175.9500,-40.6500,0.0015750285
175.9500,-40.5500,0.0014587949
175.9500,-40.4500,0.0012716611
175.9500,-40.3500,0.0010296070
175.9500,-40.2500,0.0007726226
175.9500,-40.1500,0.0005252702
175.9500,-40.0500,0.0003720206
175.9500,-39.9500,0.0002820858
175.9500,-39.8500,0.0002113946
175.9500,-39.7500,0.0001517039
175.9500,-39.6500,0.0000923171
175.9500,-39.5500,0.0000157068
175.9500,-39.4500,0.0000006696
175.9500,-39.3500,0.0000006696
175.9500,-39.2500,0.0000006696
175.9500,-39.1500,0.0000006696
176.0500,-41.7500,0.0015959744
176.0500,-41.6500,0.0017005266
176.0500,-41.5500,0.0017294884
176.0500,-41.4500,0.0016957093
176.0500,-41.3500,0.0016512431
176.0500,-41.2500,0.0016285705
176.0500,-41.1500,0.0016083526
176.0500,-41.0500,0.0015958972
176.0500,-40.9500,0.0015986223
176.0500,-40.8500,0.0016132721
176.0500,-40.7500,0.0016267193
176.0500,-40.6500,0.0016120544
176.0500,-40.5500,0.0015442624
176.0500,-40.4500,0.0014053988
176.0500,-40.3500,0.0011544931
176.0500,-40.2500,0.0008951277
176.0500,-40.1500,0.0006631382
176.0500,-40.0500,0.0005027760
176.0500,-39.9500,0.0004069624
176.0500,-39.8500,0.0003422296
176.0500,-39.7500,0.0002883616
176.0500,-39.6500,0.0002260376
176.0500,-39.5500,0.0001407352
176.0500,-39.4500,0.0000628104
176.0500,-39.3500,0.0000006696
176.0500,-39.2500,0.0000006696
176.0500,-39.1500,0.0000006696
176.0500,-39.0500,0.0000006696
176.1500,-41.7500,0.0016472406
176.1500,-41.6500,0.0017218424
176.1500,-41.5500,0.0017515558
176.1500,-41.4500,0.0017325451
176.1500,-41.3500,0.0016973930
176.1500,-41.2500,0.0016851936
176.1500,-41.1500,0.0016643182
176.1500,-41.0500,0.0016474831
176.1500,-40.9500,0.0016433653
176.1500,-40.8500,0.0016432004
176.1500,-40.7500,0.0016518007
176.1500,-40.6500,0.0016540071
176.1500,-40.5500,0.0016029377
176.1500,-40.4500,0.0014721825
176.1500,-40.3500,0.0012431845
176.1500,-40.2500,0.0009993838
176.1500,-40.1500,0.0007840603
